Pressure,Temperature,Phase,Author,Method
0,505,B1,Fiquet (1999),static
0,591,B1,Fiquet (1999),static
0,694,B1,Fiquet (1999),static
0,790,B1,Fiquet (1999),static
0,874,B1,Fiquet (1999),static
0,964,B1,Fiquet (1999),static
0,1052,B1,Fiquet (1999),static
0,1120,B1,Fiquet (1999),static
0,1211,B1,Fiquet (1999),static
0,1281,B1,Fiquet (1999),static
0,1335,B1,Fiquet (1999),static
0,1446,B1,Fiquet (1999),static
0,1557,B1,Fiquet (1999),static
0,1738,B1,Fiquet (1999),static
0,1901,B1,Fiquet (1999),static
0,2036,B1,Fiquet (1999),static
0,2153,B1,Fiquet (1999),static
0,2262,B1,Fiquet (1999),static
0,2385,B1,Fiquet (1999),static
0,300,B1,Utsumi (1998),static
1.1,300,B1,Utsumi (1998),static
2.3,300,B1,Utsumi (1998),static
3.4,300,B1,Utsumi (1998),static
4.4,300,B1,Utsumi (1998),static
5.4,300,B1,Utsumi (1998),static
6.2,300,B1,Utsumi (1998),static
7.1,300,B1,Utsumi (1998),static
7.8,300,B1,Utsumi (1998),static
0,300,B1,Utsumi (1998),static
3.7,973,B1,Utsumi (1998),static
3.6,873,B1,Utsumi (1998),static
3.4,773,B1,Utsumi (1998),static
3.2,673,B1,Utsumi (1998),static
3.1,573,B1,Utsumi (1998),static
2.9,473,B1,Utsumi (1998),static
2.8,373,B1,Utsumi (1998),static
2.7,300,B1,Utsumi (1998),static
5.5,1073,B1,Utsumi (1998),static
5.3,973,B1,Utsumi (1998),static
5.1,873,B1,Utsumi (1998),static
5,773,B1,Utsumi (1998),static
4.8,673,B1,Utsumi (1998),static
4.7,573,B1,Utsumi (1998),static
4.5,473,B1,Utsumi (1998),static
4.4,373,B1,Utsumi (1998),static
4.3,300,B1,Utsumi (1998),static
7.8,1073,B1,Utsumi (1998),static
7.7,973,B1,Utsumi (1998),static
7.5,873,B1,Utsumi (1998),static
7.3,773,B1,Utsumi (1998),static
7.1,673,B1,Utsumi (1998),static
6.8,573,B1,Utsumi (1998),static
6.5,473,B1,Utsumi (1998),static
6.2,373,B1,Utsumi (1998),static
6,300,B1,Utsumi (1998),static
9.2,1073,B1,Utsumi (1998),static
9,973,B1,Utsumi (1998),static
8.9,873,B1,Utsumi (1998),static
8.7,773,B1,Utsumi (1998),static
8.6,673,B1,Utsumi (1998),static
8.4,573,B1,Utsumi (1998),static
8.2,473,B1,Utsumi (1998),static
8.1,373,B1,Utsumi (1998),static
8,300,B1,Utsumi (1998),static
0,300,B1,Utsumi (1998),static
7.7,1073,B1,Utsumi (1998),static
6.7,1073,B1,Utsumi (1998),static
6,1073,B1,Utsumi (1998),static
4.8,1073,B1,Utsumi (1998),static
