Pressure,Temperature,Phase,Author,Method
21.4,298,Stishovite,Buchen (2018),static
23.2,298,Stishovite,Buchen (2018),static
25,298,Stishovite,Buchen (2018),static
27.2,298,Stishovite,Buchen (2018),static
30.5,298,Stishovite,Buchen (2018),static
31,298,Stishovite,Buchen (2018),static
33.3,298,Stishovite,Buchen (2018),static
35.7,298,Stishovite,Buchen (2018),static
38.1,298,Stishovite,Buchen (2018),static
40.4,298,Stishovite,Buchen (2018),static
42.9,298,Stishovite,Buchen (2018),static
45.3,298,Mix (Stishovite + CaCl2-like),Buchen (2018),static
47.6,298,Mix (Stishovite + CaCl2-like),Buchen (2018),static
49.9,298,Mix (Stishovite + CaCl2-like),Buchen (2018),static
52.2,298,CaCl2-like,Buchen (2018),static
54.4,298,CaCl2-like,Buchen (2018),static
56.4,298,CaCl2-like,Buchen (2018),static
58.5,298,CaCl2-like,Buchen (2018),static
62.6,298,CaCl2-like,Buchen (2018),static
64.6,298,CaCl2-like,Buchen (2018),static
66.6,298,CaCl2-like,Buchen (2018),static
67,298,CaCl2-like,Buchen (2018),static
71,298,CaCl2-like,Buchen (2018),static
72.9,298,CaCl2-like,Buchen (2018),static
1.2,298,Stishovite,Andrault (2003),static
2.3,298,Stishovite,Andrault (2003),static
3.1,298,Stishovite,Andrault (2003),static
4.3,298,Stishovite,Andrault (2003),static
5,298,Stishovite,Andrault (2003),static
5.9,298,Stishovite,Andrault (2003),static
6.6,298,Stishovite,Andrault (2003),static
7.5,298,Stishovite,Andrault (2003),static
8.3,298,Stishovite,Andrault (2003),static
9.6,298,Stishovite,Andrault (2003),static
11.7,298,Stishovite,Andrault (2003),static
17.7,298,Stishovite,Andrault (2003),static
22.4,298,Stishovite,Andrault (2003),static
29.4,298,Stishovite,Andrault (2003),static
37.7,298,Stishovite,Andrault (2003),static
46,298,Stishovite,Andrault (2003),static
52.7,298,Stishovite,Andrault (2003),static
26.3,298,Stishovite,Andrault (2003),static
31,298,Stishovite,Andrault (2003),static
34.2,298,Stishovite,Andrault (2003),static
38.5,298,Stishovite,Andrault (2003),static
43.4,298,Stishovite,Andrault (2003),static
47.5,298,Stishovite,Andrault (2003),static
50.5,298,Stishovite,Andrault (1998),static
55.9,298,Stishovite,Andrault (1998),static
57.6,298,Stishovite,Andrault (1998),static
66.3,298,CaCl2-like,Andrault (1998),static
69.6,298,CaCl2-like,Andrault (1998),static
76.4,298,CaCl2-like,Andrault (1998),static
81.7,298,CaCl2-like,Andrault (1998),static
89.4,298,CaCl2-like,Andrault (1998),static
94.6,298,CaCl2-like,Andrault (1998),static
99.4,298,CaCl2-like,Andrault (1998),static
103.7,298,CaCl2-like,Andrault (1998),static
106.9,298,CaCl2-like,Andrault (1998),static
114.6,298,CaCl2-like,Andrault (1998),static
120.4,298,CaCl2-like,Andrault (1998),static
124.1,298,CaCl2-like,Andrault (1998),static
128,298,CaCl2-like,Andrault (1998),static
104.6,2022,CaCl2-like,Grocholski (2013),static
102,2020,CaCl2-like,Grocholski (2013),static
138.4,2604,Seifertite,Grocholski (2013),static
143.1,2137,Seifertite,Grocholski (2013),static
155.3,2436,Seifertite,Grocholski (2013),static
152,2859,Seifertite,Grocholski (2013),static
139,2500,Seifertite,Grocholski (2013),static
140,300,Seifertite,Grocholski (2013),static
119,300,Seifertite,Grocholski (2013),static
152,2440,Seifertite,Grocholski (2013),static
139,1900,Seifertite,Grocholski (2013),static
139,2600,Seifertite,Grocholski (2013),static
146,1900,Seifertite,Grocholski (2013),static
146,2600,Seifertite,Grocholski (2013),static
152,2700,Seifertite,Grocholski (2013),static
152,2900,Seifertite,Grocholski (2013),static
143,2137,Seifertite,Grocholski (2013),static
152,2860,Seifertite,Grocholski (2013),static
136,3100,Mix (CaCl2-like + Seifertite) ,Grocholski (2013),static
126,3100,Mix (CaCl2-like + Seifertite) ,Grocholski (2013),static
134.6,3101,Mix (CaCl2-like + Seifertite) ,Grocholski (2013),static
56.5,1200,Stishovite,Sun (2019),static
56,1598,Stishovite,Sun (2019),static
56.6,2000,Stishovite,Sun (2019),static
58.6,1550,Stishovite,Sun (2019),static
61.8,1849,Stishovite,Sun (2019),static
66.9,2141,Stishovite,Sun (2019),static
66.4,1966,Stishovite,Sun (2019),static
63.1,1578,CaCl2-like,Sun (2019),static
65.1,1725,CaCl2-like,Sun (2019),static
67,1499,CaCl2-like,Sun (2019),static
72.1,1900,CaCl2-like,Sun (2019),static
75,2199,CaCl2-like,Sun (2019),static
79,2220,CaCl2-like,Sun (2019),static
80,2752,CaCl2-like,Sun (2019),static
87,2680,CaCl2-like,Sun (2019),static
85,2436,CaCl2-like,Sun (2019),static
83,2443,CaCl2-like,Sun (2019),static
82.9,2388,CaCl2-like,Sun (2019),static
81,2185,CaCl2-like,Sun (2019),static
79,2093,CaCl2-like,Sun (2019),static
81.1,1914,CaCl2-like,Sun (2019),static
81,1770,CaCl2-like,Sun (2019),static
81,1701,CaCl2-like,Sun (2019),static
79,1667,CaCl2-like,Sun (2019),static
76,1698,CaCl2-like,Sun (2019),static
75.9,1657,CaCl2-like,Sun (2019),static
75.9,1554,CaCl2-like,Sun (2019),static
79,1557,CaCl2-like,Sun (2019),static
79,1464,CaCl2-like,Sun (2019),static
78,1420,CaCl2-like,Sun (2019),static
75.9,1403,CaCl2-like,Sun (2019),static
75.8,1313,CaCl2-like,Sun (2019),static
77,1300,CaCl2-like,Sun (2019),static
77.1,1310,CaCl2-like,Sun (2019),static
75.9,1207,CaCl2-like,Sun (2019),static
77.2,1241,CaCl2-like,Sun (2019),static
64.8,300,CaCl2-like,Sun (2019),static
68.1,300,CaCl2-like,Sun (2019),static
79.5,300,CaCl2-like,Sun (2019),static
81.7,300,CaCl2-like,Sun (2019),static
87.7,300,CaCl2-like,Sun (2019),static
