Pressure,Temperature,Phase,Author,Method,
106.3,2103,hcp,Yoo (1995),static,
106.5,2069,hcp,Yoo (1995),static,
107.3,1989,hcp,Yoo (1995),static,
106.5,1989,hcp,Yoo (1995),static,
110.3,1943,hcp,Yoo (1995),static,
110.1,1989,hcp,Yoo (1995),static,
110.3,2046,hcp,Yoo (1995),static,
113.6,2046,hcp,Yoo (1995),static,
113.6,2000,hcp,Yoo (1995),static,
120.7,1851,hcp,Yoo (1995),static,
111.4,2368,hcp,Yoo (1995),static,
132.6,2655,hcp,Yoo (1995),static,
132.1,2517,hcp,Yoo (1995),static,
132.1,2161,hcp,Yoo (1995),static,
132.3,1690,hcp,Yoo (1995),static,
126.6,517,hcp,Yoo (1995),static,
48.6,2598,liquid,Yoo (1995),static,
41.8,2690,liquid,Yoo (1995),static,
45.1,2828,liquid,Yoo (1995),static,
48.6,2862,liquid,Yoo (1995),static,
44.8,2943,liquid,Yoo (1995),static,
63.6,3046,liquid,Yoo (1995),static,
25,2241,fcc,Yoo (1995),static,
35.9,2241,fcc,Yoo (1995),static,
37,1931,fcc,Yoo (1995),static,
22.8,1805,fcc,Yoo (1995),static,
9.8,1310,fcc,Yoo (1995),static,
7.6,1540,fcc,Yoo (1995),static,
44,2195,fcc,Yoo (1995),static,
1.7,1100,fcc,Boehler (1987),static,
3.2,1029,fcc,Boehler (1987),static,
19.8,1043,fcc,Boehler (1987),static,
24.5,1105,fcc,Boehler (1987),static,
29.2,1316,fcc,Boehler (1987),static,
1.7,1100,bcc,Boehler (1987),static,
3.2,1029,bcc,Boehler (1987),static,
19.8,1043,hcp,Boehler (1987),static,
24.5,1105,hcp,Boehler (1987),static,
29.2,1316,hcp,Boehler (1987),static,
0.6,1802,liquid,Saxena (1994),static,
10.1,2126,liquid,Saxena (1994),static,
23.1,2344,liquid,Saxena (1994),static,
21.1,2401,liquid,Saxena (1994),static,
32.4,2514,liquid,Saxena (1994),static,
38.4,2579,liquid,Saxena (1994),static,
41.3,2636,liquid,Saxena (1994),static,
48.6,2709,liquid,Saxena (1994),static,
50.3,2692,liquid,Saxena (1994),static,
57.8,2919,liquid,Saxena (1994),static,
64.2,2765,liquid,Saxena (1994),static,
66.5,2895,liquid,Saxena (1994),static,
70.8,2862,liquid,Saxena (1994),static,
74,3016,liquid,Saxena (1994),static,
75.4,2879,liquid,Saxena (1994),static,
76,2870,liquid,Saxena (1994),static,
100.3,3211,liquid,Saxena (1994),static,
103.8,3105,liquid,Saxena (1994),static,
119.1,3162,liquid,Saxena (1994),static,
125.1,3243,liquid,Saxena (1994),static,
143.4,3510,liquid,Saxena (1994),static,
24,2401,fcc,Saxena (1994),static,
57.8,2814,fcc,Saxena (1994),static,
68.2,2660,fcc,Saxena (1994),static,
99.1,2968,hcp,Saxena (1994),static,
131.2,3324,hcp,Saxena (1994),static,
27.1,2586,liquid,Shen (2004),static,
42,2675,liquid,Shen (2004),static,
50.1,2654,liquid,Shen (2004),static,
57.9,2859,liquid,Shen (2004),static,
50.1,2099,fcc,Shen (2004),static,
50.1,2099,hcp,Shen (2004),static,
26.9,2047,fcc,Shen (2004),static,
41.7,2094,fcc,Shen (2004),static,
42,2257,fcc,Shen (2004),static,
50.1,2419,fcc,Shen (2004),static,
62,282,hcp,Dubrovinsky (1998a),static,
62,282,hcp,Dubrovinsky (1998a),static,
62,809,hcp,Dubrovinsky (1998a),static,
62,886,hcp,Dubrovinsky (1998a),static,
62,1018,hcp,Dubrovinsky (1998a),static,
62,1086,hcp,Dubrovinsky (1998a),static,
62,1177,hcp,Dubrovinsky (1998a),static,
54,282,hcp,Dubrovinsky (1998a),static,
54,855,hcp,Dubrovinsky (1998a),static,
54,1014,hcp,Dubrovinsky (1998a),static,
54,1114,hcp,Dubrovinsky (1998a),static,
54,1277,hcp,Dubrovinsky (1998a),static,
54,1318,hcp,Dubrovinsky (1998a),static,
54,1386,hcp,Dubrovinsky (1998a),static,
54,1509,hcp,Dubrovinsky (1998a),static,
54,1623,hcp,Dubrovinsky (1998a),static,
42,282,hcp,Dubrovinsky (1998a),static,
42,705,hcp,Dubrovinsky (1998a),static,
42,877,hcp,Dubrovinsky (1998a),static,
42,955,hcp,Dubrovinsky (1998a),static,
42,986,hcp,Dubrovinsky (1998a),static,
42,1073,hcp,Dubrovinsky (1998a),static,
42,1114,hcp,Dubrovinsky (1998a),static,
42,1205,hcp,Dubrovinsky (1998a),static,
42,1286,hcp,Dubrovinsky (1998a),static,
42,1377,hcp,Dubrovinsky (1998a),static,
42,1418,hcp,Dubrovinsky (1998a),static,
42,1491,hcp,Dubrovinsky (1998a),static,
40,277,hcp,Dubrovinsky (1998a),static,
40,777,hcp,Dubrovinsky (1998a),static,
40,923,hcp,Dubrovinsky (1998a),static,
40,1045,hcp,Dubrovinsky (1998a),static,
40,1136,hcp,Dubrovinsky (1998a),static,
36,282,hcp,Dubrovinsky (1998a),static,
36,282,hcp,Dubrovinsky (1998a),static,
36,682,hcp,Dubrovinsky (1998a),static,
36,777,hcp,Dubrovinsky (1998a),static,
36,818,hcp,Dubrovinsky (1998a),static,
36,950,hcp,Dubrovinsky (1998a),static,
36,977,hcp,Dubrovinsky (1998a),static,
36,1014,hcp,Dubrovinsky (1998a),static,
36,1073,hcp,Dubrovinsky (1998a),static,
36,1105,hcp,Dubrovinsky (1998a),static,
36,1205,hcp,Dubrovinsky (1998a),static,
36,1255,hcp,Dubrovinsky (1998a),static,
32,282,hcp,Dubrovinsky (1998a),static,
32,282,hcp,Dubrovinsky (1998a),static,
32,786,hcp,Dubrovinsky (1998a),static,
32,886,hcp,Dubrovinsky (1998a),static,
32,936,hcp,Dubrovinsky (1998a),static,
32,973,hcp,Dubrovinsky (1998a),static,
32,1014,hcp,Dubrovinsky (1998a),static,
32,1073,hcp,Dubrovinsky (1998a),static,
32,1105,hcp,Dubrovinsky (1998a),static,
32,1186,hcp,Dubrovinsky (1998a),static,
32,1255,hcp,Dubrovinsky (1998a),static,
32,1277,hcp,Dubrovinsky (1998a),static,
24,277,hcp,Dubrovinsky (1998a),static,
24,277,hcp,Dubrovinsky (1998a),static,
24,550,hcp,Dubrovinsky (1998a),static,
24,718,hcp,Dubrovinsky (1998a),static,
24,845,hcp,Dubrovinsky (1998a),static,
24,868,hcp,Dubrovinsky (1998a),static,
24,936,hcp,Dubrovinsky (1998a),static,
24,986,hcp,Dubrovinsky (1998a),static,
24,1018,hcp,Dubrovinsky (1998a),static,
24,1073,hcp,Dubrovinsky (1998a),static,
24,1091,hcp,Dubrovinsky (1998a),static,
18,282,hcp,Dubrovinsky (1998a),static,
18,277,hcp,Dubrovinsky (1998a),static,
18,400,hcp,Dubrovinsky (1998a),static,
18,482,hcp,Dubrovinsky (1998a),static,
18,573,hcp,Dubrovinsky (1998a),static,
18,614,hcp,Dubrovinsky (1998a),static,
18,718,hcp,Dubrovinsky (1998a),static,
23.9,1057,hcp,Dubrovinsky (1998a),static,
31.1,1322,hcp,Dubrovinsky (1998a),static,
35.7,1363,hcp,Dubrovinsky (1998a),static,
42.5,1573,hcp,Dubrovinsky (1998a),static,
23.9,1197,fcc,Dubrovinsky (1998a),static,
35.8,1465,fcc,Dubrovinsky (1998a),static,
42.4,1678,fcc,Dubrovinsky (1998a),static,
31.1,1376,fcc,Dubrovinsky (1998a),static,
19.2,1071,fcc,Mao (1987),static,
23.8,1229,fcc,Mao (1987),static,
31.1,1512,fcc,Mao (1987),static,
35.3,1652,fcc,Mao (1987),static,
19.2,1071,hcp,Mao (1987),static,
23.8,1229,hcp,Mao (1987),static,
31.1,1512,hcp,Mao (1987),static,
35.3,1652,hcp,Mao (1987),static,
12.3,418,bcc,Bundy (1965),static,
11.6,580,bcc,Bundy (1965),static,
6.2,887,bcc,Bundy (1965),static,
6.6,861,bcc,Bundy (1965),static,
7.8,833,bcc,Bundy (1965),static,
8.8,824,bcc,Bundy (1965),static,
10.1,779,bcc,Bundy (1965),static,
13.9,831,fcc,Bundy (1965),static,
17,924,fcc,Bundy (1965),static,
17.2,948,fcc,Bundy (1965),static,
18,948,fcc,Bundy (1965),static,
11,768,fcc,Bundy (1965),static,
11,768,bcc,Bundy (1965),static,
12.3,418,hcp,Bundy (1965),static,
11.6,580,hcp,Bundy (1965),static,
6.2,887,fcc,Bundy (1965),static,
6.6,861,fcc,Bundy (1965),static,
7.8,833,fcc,Bundy (1965),static,
8.8,824,fcc,Bundy (1965),static,
10.1,779,fcc,Bundy (1965),static,
13.9,831,hcp,Bundy (1965),static,
17,924,hcp,Bundy (1965),static,
17.2,948,hcp,Bundy (1965),static,
18,948,hcp,Bundy (1965),static,
11,768,hcp,Bundy (1965),static,
13.9,298,hcp,Clendenen (1964),static,
15.9,298,hcp,Clendenen (1964),static,
18,298,hcp,Clendenen (1964),static,
17.2,298,hcp,Clendenen (1964),static,
19.3,298,hcp,Clendenen (1964),static,
20,298,hcp,Clendenen (1964),static,
21.4,298,hcp,Clendenen (1964),static,
19.3,298,hcp,Clendenen (1964),static,
22.4,298,hcp,Clendenen (1964),static,
20.2,298,hcp,Clendenen (1964),static,
24.5,298,hcp,Clendenen (1964),static,
23.5,298,hcp,Clendenen (1964),static,
24.2,298,hcp,Clendenen (1964),static,
29.8,298,hcp,Clendenen (1964),static,
30,298,hcp,Clendenen (1964),static,
31.1,298,hcp,Clendenen (1964),static,
31.8,298,hcp,Clendenen (1964),static,
32.4,298,hcp,Clendenen (1964),static,
33.3,298,hcp,Clendenen (1964),static,
34,298,hcp,Clendenen (1964),static,
36.1,298,hcp,Clendenen (1964),static,
14.4,298,hcp,Clendenen (1964),static,
17.4,298,hcp,Clendenen (1964),static,
20.4,298,hcp,Clendenen (1964),static,
24.4,298,hcp,Clendenen (1964),static,
28.7,298,hcp,Clendenen (1964),static,
33.4,298,hcp,Clendenen (1964),static,
38.4,298,hcp,Clendenen (1964),static,
5.3,298,bcc,Clendenen (1964),static,
3.9,298,bcc,Clendenen (1964),static,
6.5,298,bcc,Clendenen (1964),static,
7.4,298,bcc,Clendenen (1964),static,
8.9,298,bcc,Clendenen (1964),static,
10.4,298,bcc,Clendenen (1964),static,
10.1,298,bcc,Clendenen (1964),static,
11.3,298,bcc,Clendenen (1964),static,
12.8,298,bcc,Clendenen (1964),static,
13.4,298,bcc,Clendenen (1964),static,
16.1,298,bcc,Clendenen (1964),static,
16.3,298,bcc,Clendenen (1964),static,
17.3,298,bcc,Clendenen (1964),static,
18.8,298,bcc,Clendenen (1964),static,
19.9,298,bcc,Clendenen (1964),static,
21.7,298,bcc,Clendenen (1964),static,
24.1,298,bcc,Clendenen (1964),static,
32.9,298,bcc,Clendenen (1964),static,
14.8,298,hcp,Clendenen (1964),static,
19.9,298,hcp,Clendenen (1964),static,
25,298,hcp,Clendenen (1964),static,
30.1,298,hcp,Clendenen (1964),static,
35,298,hcp,Clendenen (1964),static,
39.9,298,hcp,Clendenen (1964),static,
5,296,bcc,Mao (1967),static,
8,296,bcc,Mao (1967),static,
10.3,296,bcc,Mao (1967),static,
12.2,296,bcc,Mao (1967),static,
13.1,296,bcc,Mao (1967),static,
13.1,296,bcc,Mao (1967),static,
14.5,296,bcc,Mao (1967),static,
8,296,hcp,Mao (1967),static,
12.2,296,hcp,Mao (1967),static,
13.1,296,hcp,Mao (1967),static,
13.1,296,hcp,Mao (1967),static,
14.5,296,hcp,Mao (1967),static,
18.3,296,hcp,Mao (1967),static,
19.2,296,hcp,Mao (1967),static,
21.2,296,hcp,Mao (1967),static,
21.3,296,hcp,Mao (1967),static,
21.6,296,hcp,Mao (1967),static,
21.6,296,hcp,Mao (1967),static,
21.9,296,hcp,Mao (1967),static,
22,296,hcp,Mao (1967),static,
23.5,296,hcp,Mao (1967),static,
23.7,296,hcp,Mao (1967),static,
23.8,296,hcp,Mao (1967),static,
24.9,296,hcp,Mao (1967),static,
26.2,296,hcp,Mao (1967),static,
28.3,296,hcp,Mao (1967),static,
30.9,296,hcp,Mao (1967),static,
0,298,bcc,Giles (1971),static,
0.1,298,bcc,Giles (1971),static,
0.9,298,bcc,Giles (1971),static,
1.1,298,bcc,Giles (1971),static,
2.6,298,bcc,Giles (1971),static,
3.1,298,bcc,Giles (1971),static,
4.1,298,bcc,Giles (1971),static,
4.9,298,bcc,Giles (1971),static,
5.9,298,bcc,Giles (1971),static,
6.6,298,bcc,Giles (1971),static,
7.2,298,bcc,Giles (1971),static,
8,298,bcc,Giles (1971),static,
9.7,298,bcc,Giles (1971),static,
9.9,298,bcc,Giles (1971),static,
10.4,298,bcc,Giles (1971),static,
12.1,298,bcc,Giles (1971),static,
12.2,298,bcc,Giles (1971),static,
12.9,298,bcc,Giles (1971),static,
12.9,298,bcc,Giles (1971),static,
13.1,298,bcc,Giles (1971),static,
13.7,298,bcc,Giles (1971),static,
14.5,298,bcc,Giles (1971),static,
15.2,298,bcc,Giles (1971),static,
15.2,298,bcc,Giles (1971),static,
16.3,298,bcc,Giles (1971),static,
5,298,hcp,Giles (1971),static,
6.6,298,hcp,Giles (1971),static,
9.8,298,hcp,Giles (1971),static,
12.9,298,hcp,Giles (1971),static,
12.9,298,hcp,Giles (1971),static,
12.9,298,hcp,Giles (1971),static,
13.8,298,hcp,Giles (1971),static,
15.2,298,hcp,Giles (1971),static,
15.2,298,hcp,Giles (1971),static,
16.3,298,hcp,Giles (1971),static,
15.2,298,hcp,Giles (1971),static,
15.2,298,hcp,Giles (1971),static,
3.7,1024,fcc,Johnson (1962),static,
4.7,983,fcc,Johnson (1962),static,
8.6,859,fcc,Johnson (1962),static,
8.6,841,fcc,Johnson (1962),static,
9.3,824,fcc,Johnson (1962),static,
10.4,800,fcc,Johnson (1962),static,
11.5,790,fcc,Johnson (1962),static,
11.1,785,fcc,Johnson (1962),static,
11.5,734,bcc,Johnson (1962),static,
11.3,663,bcc,Johnson (1962),static,
11.3,605,bcc,Johnson (1962),static,
12.1,556,bcc,Johnson (1962),static,
12.4,549,bcc,Johnson (1962),static,
12.5,480,bcc,Johnson (1962),static,
12.5,424,bcc,Johnson (1962),static,
12.1,359,bcc,Johnson (1962),static,
12.9,288,bcc,Johnson (1962),static,
13.4,244,bcc,Johnson (1962),static,
14,195,bcc,Johnson (1962),static,
15,66,bcc,Johnson (1962),static,
3.7,1024,bcc,Johnson (1962),static,
4.7,983,bcc,Johnson (1962),static,
8.6,859,bcc,Johnson (1962),static,
8.6,841,bcc,Johnson (1962),static,
9.3,824,bcc,Johnson (1962),static,
10.4,800,bcc,Johnson (1962),static,
11.5,790,hcp,Johnson (1962),static,
11.1,785,hcp,Johnson (1962),static,
11.5,790,bcc,Johnson (1962),static,
11.1,785,bcc,Johnson (1962),static,
11.5,734,hcp,Johnson (1962),static,
11.3,663,hcp,Johnson (1962),static,
11.3,605,hcp,Johnson (1962),static,
12.1,556,hcp,Johnson (1962),static,
12.4,549,hcp,Johnson (1962),static,
12.5,480,hcp,Johnson (1962),static,
12.5,424,hcp,Johnson (1962),static,
12.1,359,hcp,Johnson (1962),static,
12.9,288,hcp,Johnson (1962),static,
13.4,244,hcp,Johnson (1962),static,
14,195,hcp,Johnson (1962),static,
15,66,hcp,Johnson (1962),static,
0.9,1092,bcc,Claussen (1960),static,
1.2,1089,bcc,Claussen (1960),static,
0.9,1059,bcc,Claussen (1960),static,
1.2,1072,bcc,Claussen (1960),static,
1.6,1050,bcc,Claussen (1960),static,
1.6,1035,bcc,Claussen (1960),static,
2.3,1039,bcc,Claussen (1960),static,
2.3,1020,bcc,Claussen (1960),static,
2.7,1022,bcc,Claussen (1960),static,
2.7,1000,bcc,Claussen (1960),static,
3,999,bcc,Claussen (1960),static,
3,989,bcc,Claussen (1960),static,
3.7,983,bcc,Claussen (1960),static,
3.7,974,bcc,Claussen (1960),static,
3.9,979,bcc,Claussen (1960),static,
3.9,967,bcc,Claussen (1960),static,
4.2,966,bcc,Claussen (1960),static,
4.2,947,bcc,Claussen (1960),static,
4.6,964,bcc,Claussen (1960),static,
4.6,947,bcc,Claussen (1960),static,
4.9,948,bcc,Claussen (1960),static,
4.9,929,bcc,Claussen (1960),static,
5.4,946,bcc,Claussen (1960),static,
5.4,934,bcc,Claussen (1960),static,
6.2,928,bcc,Claussen (1960),static,
6.1,908,bcc,Claussen (1960),static,
6.5,918,bcc,Claussen (1960),static,
6.5,885,bcc,Claussen (1960),static,
7.1,913,bcc,Claussen (1960),static,
7.1,893,bcc,Claussen (1960),static,
8.2,874,bcc,Claussen (1960),static,
8.2,847,bcc,Claussen (1960),static,
10.1,845,bcc,Claussen (1960),static,
10.1,804,bcc,Claussen (1960),static,
0.9,1092,fcc,Claussen (1960),static,
1.2,1089,fcc,Claussen (1960),static,
0.9,1059,fcc,Claussen (1960),static,
1.2,1072,fcc,Claussen (1960),static,
1.6,1050,fcc,Claussen (1960),static,
1.6,1035,fcc,Claussen (1960),static,
2.3,1039,fcc,Claussen (1960),static,
2.3,1020,fcc,Claussen (1960),static,
2.7,1022,fcc,Claussen (1960),static,
2.7,1000,fcc,Claussen (1960),static,
3,999,fcc,Claussen (1960),static,
3,989,fcc,Claussen (1960),static,
3.7,983,fcc,Claussen (1960),static,
3.7,974,fcc,Claussen (1960),static,
3.9,979,fcc,Claussen (1960),static,
3.9,967,fcc,Claussen (1960),static,
4.2,966,fcc,Claussen (1960),static,
4.2,947,fcc,Claussen (1960),static,
4.6,964,fcc,Claussen (1960),static,
4.6,947,fcc,Claussen (1960),static,
4.9,948,fcc,Claussen (1960),static,
4.9,929,fcc,Claussen (1960),static,
5.4,946,fcc,Claussen (1960),static,
5.4,934,fcc,Claussen (1960),static,
6.2,928,fcc,Claussen (1960),static,
6.1,908,fcc,Claussen (1960),static,
6.5,918,fcc,Claussen (1960),static,
6.5,885,fcc,Claussen (1960),static,
7.1,913,fcc,Claussen (1960),static,
7.1,893,fcc,Claussen (1960),static,
8.2,874,fcc,Claussen (1960),static,
8.2,847,fcc,Claussen (1960),static,
10.1,845,fcc,Claussen (1960),static,
10.1,804,fcc,Claussen (1960),static,
0,1179,bcc,Kennnedy & Newton (1962),static,
0.4,1134,bcc,Kennnedy & Newton (1962),static,
1,1077,bcc,Kennnedy & Newton (1962),static,
1.4,1053,bcc,Kennnedy & Newton (1962),static,
1.9,1031,bcc,Kennnedy & Newton (1962),static,
2.6,990,bcc,Kennnedy & Newton (1962),static,
3,983,bcc,Kennnedy & Newton (1962),static,
3.4,962,bcc,Kennnedy & Newton (1962),static,
3.9,947,bcc,Kennnedy & Newton (1962),static,
4.6,916,bcc,Kennnedy & Newton (1962),static,
0,1179,fcc,Kennnedy & Newton (1962),static,
0.4,1134,fcc,Kennnedy & Newton (1962),static,
1,1077,fcc,Kennnedy & Newton (1962),static,
1.4,1053,fcc,Kennnedy & Newton (1962),static,
1.9,1031,fcc,Kennnedy & Newton (1962),static,
2.6,990,fcc,Kennnedy & Newton (1962),static,
3,983,fcc,Kennnedy & Newton (1962),static,
3.4,962,fcc,Kennnedy & Newton (1962),static,
3.9,947,fcc,Kennnedy & Newton (1962),static,
4.6,916,fcc,Kennnedy & Newton (1962),static,
2.6,1010,bcc,Clougherty & Kaufman (1962),static,
3.6,977,bcc,Clougherty & Kaufman (1962),static,
5.1,915,bcc,Clougherty & Kaufman (1962),static,
5.6,890,bcc,Clougherty & Kaufman (1962),static,
6.1,882,bcc,Clougherty & Kaufman (1962),static,
6.6,855,bcc,Clougherty & Kaufman (1962),static,
7.1,842,bcc,Clougherty & Kaufman (1962),static,
7.6,822,bcc,Clougherty & Kaufman (1962),static,
8.1,811,bcc,Clougherty & Kaufman (1962),static,
9.5,753,bcc,Clougherty & Kaufman (1962),static,
2.6,1010,fcc,Clougherty & Kaufman (1962),static,
3.6,977,fcc,Clougherty & Kaufman (1962),static,
5.1,915,fcc,Clougherty & Kaufman (1962),static,
5.6,890,fcc,Clougherty & Kaufman (1962),static,
6.1,882,fcc,Clougherty & Kaufman (1962),static,
6.6,855,fcc,Clougherty & Kaufman (1962),static,
7.1,842,fcc,Clougherty & Kaufman (1962),static,
7.6,822,fcc,Clougherty & Kaufman (1962),static,
8.1,811,fcc,Clougherty & Kaufman (1962),static,
9.5,753,fcc,Clougherty & Kaufman (1962),static,
21.5,2460,liquid,Kuwayama (2020),static,
31.3,2870,liquid,Kuwayama (2020),static,
40.6,2840,liquid,Kuwayama (2020),static,
40.7,2860,liquid,Kuwayama (2020),static,
52.7,3080,liquid,Kuwayama (2020),static,
52.8,3050,liquid,Kuwayama (2020),static,
68.5,3310,liquid,Kuwayama (2020),static,
69.8,3340,liquid,Kuwayama (2020),static,
116.1,4340,liquid,Kuwayama (2020),static,
106.3,4220,liquid,Kuwayama (2020),static,
16,2200,liquid,Kuwayama (2020),static,
32.7,2700,liquid,Kuwayama (2020),static,
44.9,2700,liquid,Kuwayama (2020),static,
73.8,3630,liquid,Kuwayama (2020),static,
106.3,4220,liquid,Kuwayama (2020),static,
116.1,4340,liquid,Kuwayama (2020),static,
300,5469,hcp,Gonzalez-Caraldo (2023),theory,TI
330,5747,hcp,Gonzalez-Caraldo (2023),theory,TI
500,7024,hcp,Gonzalez-Caraldo (2023),theory,TI
1000,10170,hcp,Gonzalez-Caraldo (2023),theory,TI
2000,14253,hcp,Gonzalez-Caraldo (2023),theory,TI
3000,17842,hcp,Gonzalez-Caraldo (2023),theory,TI
4000,20784,hcp,Gonzalez-Caraldo (2023),theory,TI
5000,23996,hcp,Gonzalez-Caraldo (2023),theory,TI
300,7469,liquid,Gonzalez-Caraldo (2023),theory,TI
330,7747,liquid,Gonzalez-Caraldo (2023),theory,TI
500,9024,liquid,Gonzalez-Caraldo (2023),theory,TI
1000,12170,liquid,Gonzalez-Caraldo (2023),theory,TI
2000,16253,liquid,Gonzalez-Caraldo (2023),theory,TI
3000,19842,liquid,Gonzalez-Caraldo (2023),theory,TI
4000,22784,liquid,Gonzalez-Caraldo (2023),theory,TI
5000,25996,liquid,Gonzalez-Caraldo (2023),theory,TI
323,5112,hcp,Sun (2023),theory,TI
360,5393,hcp,Sun (2023),theory,TI
323,7112,liquid,Sun (2023),theory,TI
360,7393,liquid,Sun (2023),theory,TI
335,5920,hcp,Morard (2011),theory,Two-Phase
695,7920,hcp,Morard (2011),theory,Two-Phase
1050,9920,hcp,Morard (2011),theory,Two-Phase
1070,10920,hcp,Morard (2011),theory,Two-Phase
1535,13920,hcp,Morard (2011),theory,Two-Phase
345,7000,liquid,Morard (2011),theory,Two-Phase
750,10000,liquid,Morard (2011),theory,Two-Phase
1115,12000,liquid,Morard (2011),theory,Two-Phase
1135,12960,liquid,Morard (2011),theory,Two-Phase
1145,14000,liquid,Morard (2011),theory,Two-Phase
1585,14960,liquid,Morard (2011),theory,Two-Phase
330,6950,liquid,Sola (2009),theory,QMC
330,5750,hcp,Sola (2009),theory,QMC
