P (GPa),T (K),Phase,Author,
15.5,1673,Clinoenstatite,Sawamoto1987,
16,1473,Clinoenstatite,Sawamoto1987,
16,1673,Wadsleyite+Stishovite,Sawamoto1987,
16,1873,Clinoenstatite,Sawamoto1987,
16.5,1373,Ringwoodite+Stishovite,Sawamoto1987,
16.9,1973,Majorite,Sawamoto1987,
17,1613,Ringwoodite+Stishovite,Sawamoto1987,
17,1773,Ringwoodite+Stishovite,Sawamoto1987,
17,2073,Clinoenstatite,Sawamoto1987,
17,2273,Clinoenstatite,Sawamoto1987,
17.3,2173,Majorite,Sawamoto1987,
17.5,1773,Ringwoodite+Stishovite,Sawamoto1987,
18,1573,Ringwoodite+Stishovite,Sawamoto1987,
18,1673,Wadsleyite+Stishovite,Sawamoto1987,
18,1973,Majorite,Sawamoto1987,
18,1973,Wadsleyite+Stishovite,Sawamoto1987,
18,2073,Majorite,Sawamoto1987,
18,2373,Majorite,Sawamoto1987,
18.5,1923,Wadsleyite+Stishovite,Sawamoto1987,
18.5,1973,Wadsleyite+Stishovite,Sawamoto1987,
18.5,2023,Wadsleyite+Stishovite,Sawamoto1987,
18.5,2023,Majorite,Sawamoto1987,
18.5,2073,Majorite,Sawamoto1987,
19,1773,Wadsleyite+Stishovite,Sawamoto1987,
19,1973,Wadsleyite+Stishovite,Sawamoto1987,
19.6,1823,Akimotoite,Sawamoto1987,
19.6,1823,Ringwoodite+Stishovite,Sawamoto1987,
19.6,1823,Wadsleyite+Stishovite,Sawamoto1987,
19.6,1973,Wadsleyite+Stishovite,Sawamoto1987,
19.6,2093,Majorite,Sawamoto1987,
20,1523,Ringwoodite+Stishovite,Sawamoto1987,
0,273,Ringwoodite+Stishovite,Sawamoto1987,
20,1673,Akimotoite,Sawamoto1987,
20,1773,Akimotoite,Sawamoto1987,
20,2033,Akimotoite,Sawamoto1987,
20,2273,Majorite,Sawamoto1987,
20,2373,Majorite,Sawamoto1987,
20.5,1473,Akimotoite,Sawamoto1987,
21,2073,Akimotoite,Sawamoto1987,
21,2173,Akimotoite,Sawamoto1987,
21.7,2273,Akimotoite,Sawamoto1987,
21,2173,Majorite,Sawamoto1987,
21.7,2273,Majorite,Sawamoto1987,
21.7,2373,Majorite,Sawamoto1987,
22,2133,Akimotoite,Sawamoto1987,
23,2173,Akimotoite,Sawamoto1987,
23,2323,Bridgmanite,Sawamoto1987,
23,2373,Majorite,Sawamoto1987,
23.7,1873,Akimotoite,Sawamoto1987,
23.7,2083,Bridgmanite,Sawamoto1987,
24,1723,Akimotoite,Sawamoto1987,
24,2273,Bridgmanite,Sawamoto1987,
24.3,1239,Akimotoite,Chanyshev2023,
23.9,1265,Akimotoite,Chanyshev2023,
23.1,1291,Akimotoite,Chanyshev2023,
22.7,1343,Akimotoite,Chanyshev2023,
22.4,1395,Akimotoite,Chanyshev2023,
22.2,1428,Akimotoite,Chanyshev2023,
22.1,1449,Akimotoite,Chanyshev2023,
22.1,1501,Akimotoite,Chanyshev2023,
22,1553,Akimotoite,Chanyshev2023,
22,1606,Akimotoite,Chanyshev2023,
21.9,1660,Akimotoite,Chanyshev2023,
21.3,1712,Akimotoite,Chanyshev2023,
21.3,1766,Akimotoite,Chanyshev2023,
21.1,1818,Akimotoite,Chanyshev2023,
20.9,1870,Akimotoite,Chanyshev2023,
20.7,1924,Akimotoite,Chanyshev2023,
20.3,1976,Akimotoite,Chanyshev2023,
20.7,1976,Akimotoite,Chanyshev2023,
20.5,2030,Akimotoite,Chanyshev2023,
20.6,2084,Akimotoite,Chanyshev2023,
24.4,1239,Bridgmanite,Chanyshev2023,
23.9,1291,Bridgmanite,Chanyshev2023,
23.3,1291,Bridgmanite,Chanyshev2023,
22.9,1343,Bridgmanite,Chanyshev2023,
22.5,1395,Bridgmanite,Chanyshev2023,
22.2,1449,Bridgmanite,Chanyshev2023,
22.3,1501,Bridgmanite,Chanyshev2023,
22.1,1555,Bridgmanite,Chanyshev2023,
22.2,1606,Bridgmanite,Chanyshev2023,
22.1,1606,Bridgmanite,Chanyshev2023,
22,1660,Bridgmanite,Chanyshev2023,
21.7,1714,Bridgmanite,Chanyshev2023,
21.7,1766,Bridgmanite,Chanyshev2023,
21.5,1766,Bridgmanite,Chanyshev2023,
21.4,1818,Bridgmanite,Chanyshev2023,
21.2,1872,Bridgmanite,Chanyshev2023,
21,1924,Bridgmanite,Chanyshev2023,
20.9,1978,Bridgmanite,Chanyshev2023,
20.7,2030,Bridgmanite,Chanyshev2023,
20.8,2084,Bridgmanite,Chanyshev2023,
20.2,1506,Akimotoite,Kulka2020,
21.3,1897,Majorite,Kulka2020,
24.1,1903,Akimotoite,Kulka2020,
21,1610,Akimotoite,Kulka2020,
21.4,2056,Majorite,Kulka2020,
22,1531,Akimotoite,Kulka2020,
23.2,1870,Akimotoite,Kulka2020,
30.3,2110,Bridgmanite,Kulka2020,
26.4,2097,Bridgmanite,Kulka2020,
24.5,1717,Bridgmanite,Kulka2020,
27.2,1884,Bridgmanite,Kulka2020,
23.5,1717,Akimotoite,Kulka2020,
29.2,1706,Bridgmanite,Kulka2020,
24.3,2123,Bridgmanite,Kulka2020,
27.1,2096,Bridgmanite,Kulka2020,
26.3,1992,Bridgmanite,Kulka2020,
27,2021,Bridgmanite,Kulka2020,
25.5,1934,Bridgmanite,Kulka2020,
21.4,1541,Akimotoite,Kulka2020,
22.5,1897,Majorite,Kulka2020,
23.6,2050,Majorite,Kulka2020,
22,1637,Akimotoite,Kulka2020,
16.8,1616,Majorite,Kulka2020,
17.5,1761,Majorite,Kulka2020,
22.4,2019,Majorite,Kulka2020,
24.1,1903,Akimotoite,Kulka2020,
20.1,1964,Majorite,Kulka2020,
24,2349,Majorite,Kulka2020,
20.6,1931,Majorite,Kulka2020,
24,2136,Majorite,Kulka2020,
20.2,1922,Majorite,Kulka2020,
21.2,1905,Majorite,Kulka2020,
26.1,1809,Bridgmanite,Kulka2020,
21.7,1798,Majorite,Kulka2020,
22.8,1804,Akimotoite,Kulka2020,
22.8,2004,Majorite,Kulka2020,
27.5,1835,Bridgmanite,Kulka2020,
29.3,2003,Bridgmanite,Kulka2020,
26.1,1625,Bridgmanite,Kulka2020,
27,1600,Bridgmanite,Kulka2020,
24.6,1900,Bridgmanite,Kulka2020,
25.3,1831,Bridgmanite,Kulka2020,
25.1,1908,Bridgmanite,Kulka2020,
24.6,1600,Bridgmanite,Kulka2020,
