Pressure,Temperature,Phase,Author,Starting material,Heating time,Pressure scale,EoS,Pressure medium,Notes,,,,,,,,,
48.11320755,2284.023669,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
48.39622642,2355.029586,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
48.39622642,2526.627219,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
48.25471698,2704.142012,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
48.25471698,2834.319527,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
56.88679245,1171.597633,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
56.88679245,1289.940828,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
56.88679245,1378.698225,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.16981132,1508.87574,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.16981132,1568.047337,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
56.46226415,1662.721893,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.16981132,1715.976331,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.31132075,1804.733728,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
56.46226415,1934.911243,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.02830189,1994.08284,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
56.46226415,2082.840237,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.31132075,2183.431953,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.02830189,2284.023669,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.45283019,2390.532544,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.59433962,2556.213018,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.59433962,2662.721893,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.31132075,2704.142012,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.16981132,2869.822485,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
58.01886792,3059.171598,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
57.59433962,3112.426036,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
58.16037736,3213.017751,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
58.01886792,3272.189349,Stishovite,Fischer (2018),Powdered natural quartz,Unknown,KBr,Fischer (2012),KBr,,,,,,,,,,
