Pressure,Temperature,Phase,Author,Starting material,Heating time,Pressure scale,EoS,Pressure medium,Notes
62.1,1879,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
71,2378,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
80.7,2630,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
56,2299,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
57.8,2312,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
67.8,2339,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
41.9,1856,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
110.1,3720,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
81.1,2635,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
88.7,2956,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
99.7,2924,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
101,3074,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
129.5,4470,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
132.7,4440,hcp,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
62.5,2159,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
71.8,2629,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
80.7,2720,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
56.1,2402,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
57.9,2350,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
68.3,2464,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
42,1956,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
81.6,2858,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
88.8,3160,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
100.7,3182,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
101,3370,fcc,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
63.4,2863,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
63.1,3191,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
73.5,3118,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
72.3,3602,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
56.7,2788,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
42.8,2651,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
43,2950,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
59,2980,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
110.5,3920,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
82.9,3463,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
89,3460,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
102,3490,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
101,3530,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
130,4710,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
133,4700,liquid,Morard (2018),Fe foil,Unknown,N/A,"Lord, Wood (2015)",KCl,
11.97943445,1493.273543,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
11.97943445,1798.206278,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
23.23907455,1887.892377,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
23.0848329,1699.55157,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
23.0848329,1394.618834,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
23.0848329,2228.699552,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
29.10025707,2300.44843,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
30.17994859,2452.914798,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
29.25449871,1798.206278,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
29.10025707,1448.430493,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
38.20051414,1995.515695,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
38.20051414,2094.170404,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
38.20051414,2399.103139,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
39.12596401,2488.789238,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
42.21079692,2515.695067,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
46.22107969,2533.632287,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
46.22107969,2291.479821,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
12.13367609,1959.641256,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
50.23136247,2291.479821,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
55.16709512,2497.757848,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
84.01028278,1484.304933,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
80,1484.304933,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
84.01028278,1995.515695,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
75.06426735,1995.515695,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
84.01028278,2470.852018,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
80,2488.789238,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
75.06426735,2488.789238,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
80.15424165,2793.721973,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
80.15424165,2892.376682,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
75.218509,2784.753363,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
75.06426735,2991.03139,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
68.12339332,2856.502242,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
68.12339332,2488.789238,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
60.10282776,2372.197309,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
60.10282776,2192.825112,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
52.08226221,2390.134529,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
55.16709512,2192.825112,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
46.22107969,2147.982063,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
68.12339332,2192.825112,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
68.12339332,1995.515695,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
60.10282776,1798.206278,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
55.16709512,1995.515695,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
52.08226221,1798.206278,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
46.22107969,1843.049327,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
38.20051414,1798.206278,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
46.22107969,1591.928251,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
52.08226221,1493.273543,hcp,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
52.08226221,2192.825112,fcc,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
11.97943445,2076.233184,liquid,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
23.0848329,2372.197309,liquid,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
42.21079692,2901.345291,liquid,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
46.06683805,2721.973094,liquid,Shen (1998),"Fe powder or Fe + NaCl (or MgO, or Al2O3)",Unknown,"ε-Fe, MgO","Mao (1990), Jamieson (1982)","NaCl, MgO, or Al2O3",
136.6894198,2680.272109,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
136.6894198,2884.353741,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
135.3242321,3088.435374,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
134.6416382,3224.489796,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
206.996587,2911.564626,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
213.1399317,3523.809524,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
211.0921502,3850.340136,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
210.4095563,4122.44898,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
221.331058,2612.244898,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
241.1262799,2666.666667,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
239.7610922,3074.829932,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
239.7610922,3455.782313,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
241.8088737,3795.918367,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
287.5426621,1959.183673,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
288.9078498,2462.585034,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
290.9556314,3061.22449,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
290.9556314,3659.863946,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
322.3549488,2312.92517,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
322.3549488,2789.115646,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
318.9419795,2857.142857,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
318.2593857,3238.095238,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
318.2593857,3551.020408,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
316.2116041,3918.367347,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
333.2764505,2489.795918,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
328.4982935,2857.142857,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
329.1808874,3047.619048,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
333.2764505,3061.22449,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
333.2764505,3265.306122,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
330.5460751,3319.727891,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
324.4027304,3360.544218,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
326.4505119,3959.183673,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
334.6416382,3904.761905,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
335.3242321,3918.367347,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
338.0546075,3755.102041,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
344.1979522,3605.442177,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
348.9761092,3795.918367,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
345.5631399,3891.156463,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
338.0546075,4122.44898,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
340.1023891,4299.319728,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
331.9112628,4408.163265,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
329.8634812,4653.061224,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
333.9590444,4870.748299,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
337.3720137,4938.77551,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
346.2457338,4965.986395,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
336.6894198,4612.244898,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
344.1979522,4693.877551,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
348.2935154,4285.714286,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
331.2286689,5129.251701,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
348.9761092,5319.727891,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
355.8020478,5523.809524,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
364.6757679,5020.408163,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
371.5017065,5074.829932,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
370.8191126,5401.360544,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
376.2798635,5687.07483,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
367.4061433,4775.510204,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
367.4061433,4489.795918,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
368.7713311,4081.632653,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
361.9453925,3238.095238,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
361.9453925,2625.85034,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
362.6279863,2163.265306,hcp,Tateno (2010),iron powder,Unknown,P-V-T EoS of hcp-Fe,Dubrovinsky (2000),SiO2 glass,
20,2811.688312,liquid,Jackson (2013),Fe foil,< 100s,ruby,Mao (1986),KCl,synchrotron Mossbauer spectroscopy (SMS) method ! (to be treated with skepticism)
28.03418803,2918.831169,liquid,Jackson (2013),Fe foil,< 100s,ruby,Mao (1986),KCl,
37.09401709,3250,liquid,Jackson (2013),Fe foil,< 100s,ruby,Mao (1986),KCl,
40,3103.896104,liquid,Jackson (2013),Fe foil,< 100s,ruby,Mao (1986),KCl,
49.05982906,3337.662338,liquid,Jackson (2013),Fe foil,< 100s,ruby,Mao (1986),KCl,
50.08547009,3464.285714,liquid,Jackson (2013),Fe foil,< 100s,ruby,Mao (1986),KCl,
61.02564103,3756.493506,liquid,Jackson (2013),Fe foil,< 100s,ruby,Mao (1986),KCl,
82.05128205,4038.961039,liquid,Jackson (2013),Fe foil,< 100s,ruby,Mao (1986),KCl,
60.3,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
63.4,1400,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
85.9,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
88.2,1400,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
89.9,1700,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
90.7,2000,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
65.8,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
65.3,1400,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
81.1,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
80.4,1400,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
93.2,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
100,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
102,1400,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
118,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
119,1400,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
166,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
188,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
187,1400,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
186,1700,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
225,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
215,1400,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
211,1700,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
212,2000,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
210,2300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
97.2,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
169,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
196,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
215,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
224,1400,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
225,1700,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
237,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
246,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
267,300,hcp,Kuwayama (2008),Fe ,30 - 90 min,MgO,Speziale (2001),MgO/SiO2,
