Pressure,Temperature,Phase,Author,Notes
524.487,10000,B2,Cebulla (2017),
573.969,10000,B2,Cebulla (2017),
634.725,10000,B2,Cebulla (2017),
690.299,10000,B2,Cebulla (2017),
844.597,10000,B2,Cebulla (2017),
900.317,10000,B2,Cebulla (2017),
1280.928,10000,B2,Cebulla (2017),
1656.101,10000,B2,Cebulla (2017),
354.293,11000,Liquid,Cebulla (2017),
253.386,11000,B1,Cebulla (2017),
394.352,11000,B2,Cebulla (2017),
439.543,11000,B2,Cebulla (2017),
536.25,11000,B2,Cebulla (2017),
85.467,12000,Liquid,Cebulla (2017),
110.516,12000,Liquid,Cebulla (2017),
230.927,12000,Liquid,Cebulla (2017),
289.654,12000,Liquid,Cebulla (2017),
360,12000,Liquid,Cebulla (2017),
365.664,12000,Liquid,Cebulla (2017),
495.767,12000,B2,Cebulla (2017),
547.867,12000,B2,Cebulla (2017),
597.519,12000,B2,Cebulla (2017),
657.558,12000,B2,Cebulla (2017),
714.206,12000,B2,Cebulla (2017),
869.705,12000,B2,Cebulla (2017),
376.731,13000,Liquid,Cebulla (2017),
416.574,13000,Liquid,Cebulla (2017),
464.91,13000,Liquid,Cebulla (2017),
560.13,13000,B2,Cebulla (2017),
610.393,13000,B2,Cebulla (2017),
95.531,14000,Liquid,Cebulla (2017),
122.115,14000,Liquid,Cebulla (2017),
248.416,14000,Liquid,Cebulla (2017),
380.145,14000,Liquid,Cebulla (2017),
476.803,14000,Liquid,Cebulla (2017),
526.096,14000,Liquid,Cebulla (2017),
576.631,14000,Liquid,Cebulla (2017),
601.222,14000,Liquid,Cebulla (2017),
684.244,14000,B2,Cebulla (2017),
740.152,14000,B2,Cebulla (2017),
896.37,14000,B2,Cebulla (2017),
106.03,16000,Liquid,Cebulla (2017),
134.544,16000,Liquid,Cebulla (2017),
263.8,16000,Liquid,Cebulla (2017),
401.422,16000,Liquid,Cebulla (2017),
498.251,16000,Liquid,Cebulla (2017),
550.359,16000,Liquid,Cebulla (2017),
599.647,16000,Liquid,Cebulla (2017),
659.139,16000,Liquid,Cebulla (2017),
714.822,16000,Liquid,Cebulla (2017),
923.81,16000,B2,Cebulla (2017),
1038.641,16000,B2,Cebulla (2017),
1363.492,16000,B2,Cebulla (2017),
1741.79,16000,B2,Cebulla (2017),
735.891,18000,Liquid,Cebulla (2017),
646.105,20000,Liquid,Cebulla (2017),
761.318,20000,Liquid,Cebulla (2017),
892.85,20000,Liquid,Cebulla (2017),
1065.248,20000,Liquid,Cebulla (2017),
1170,12900,B1,Hansen (2021),
2109,26200,Liquid,Hansen (2021),
1218,16000,Liquid,Hansen (2021),
1449,16300,Liquid,Hansen (2021),
1950,19300,Liquid,Hansen (2021),
1218,13400,B2,Hansen (2021),
1449,13900,B2,Hansen (2021),
1950,15900,B2,Hansen (2021),
23.8,370,B1,Root (2015),
61.6,680,B1,Root (2015),
116.5,1575,B1,Root (2015),
190.3,3370,B1,Root (2015),
271.9,5950,B1,Root (2015),
350,7250,B2,Root (2015),
391,9000,B2,Root (2015),
412,9800,B2,Root (2015),
423,10200,B2,Root (2015),
442,11000,B2,Root (2015),
463,11800,B2,Root (2015),
495,9800,Liquid,Root (2015),
610,13350,Liquid,Root (2015),
645,14500,Liquid,Root (2015),
691,16000,Liquid,Root (2015),
741,18000,Liquid,Root (2015),
871,23000,Liquid,Root (2015),
976,26700,Liquid,Root (2015),
1080,31000,Liquid,Root (2015),
1200,36000,Liquid,Root (2015),
1334,42000,Liquid,Root (2015),
0,1900,B1,Root (2015),
38.5,2600,B1,Root (2015),
81,3500,B1,Root (2015),
143,5300,B1,Root (2015),
191,6900,B1,Root (2015),
228,8200,B1,Root (2015),
293,9250,B2,Root (2015),
321,10400,B2,Root (2015),
350,11600,B2,Root (2015),
480,13500,Liquid,Root (2015),
505,14300,Liquid,Root (2015),
554,16000,Liquid,Root (2015),
625,18750,Liquid,Root (2015),
698,21400,Liquid,Root (2015),
